Name,Date,Adjusted_Open,Adjusted_High,Adjusted_Low,Adjusted_Close,Volume,Close
AAPL,19821101,3.25,3.38,3.14,3.34,3739176,26.75
AAPL,19821102,3.53,3.69,3.38,3.58,11126160,28.63
AAPL,19821103,3.58,3.84,3.58,3.84,8425280,30.75
AAPL,19821104,3.91,3.98,3.81,3.88,11778320,31
AAPL,19821105,3.78,3.84,3.7,3.77,5069920,30.13
AAPL,19821108,3.69,3.8,3.59,3.61,4272808,28.88
AAPL,19821109,3.69,3.77,3.59,3.73,6432616,29.88
AAPL,19821110,3.84,3.94,3.75,3.88,7257664,31
AAPL,19821111,3.81,4.13,3.81,4.13,4409776,33
AAPL,19821112,4.25,4.25,4.05,4.05,4701880,32.38
AAPL,19821115,4,4.09,3.91,3.95,4467056,31.63
AAPL,19821116,3.84,3.97,3.73,3.75,6520328,30
AAPL,19821117,3.84,3.94,3.75,3.92,5158848,31.38
AAPL,19821118,3.94,3.98,3.91,3.92,5461040,31.38
AAPL,19821119,3.91,3.95,3.84,3.86,3482608,30.88
AAPL,19821122,3.72,3.86,3.59,3.64,3590752,29.13
AAPL,19821123,3.64,3.72,3.56,3.61,3169880,28.88
AAPL,19821124,3.66,3.72,3.59,3.69,2638752,29.5
AAPL,19821126,3.64,3.73,3.55,3.63,3649944,29
AAPL,19821129,3.59,3.67,3.5,3.61,1787416,28.88
AAPL,19821130,3.8,4,3.59,3.98,5692448,31.88
AAPL,19830103,3.66,3.78,3.53,3.56,4036400,28.5
AAPL,19830104,3.64,3.78,3.5,3.77,8000800,30.13
AAPL,19830105,3.75,3.81,3.7,3.78,5063504,30.25
AAPL,19830106,3.72,3.8,3.63,3.64,3500584,29.13
AAPL,19830107,3.69,3.69,3.44,3.44,6157768,27.5
AAPL,19830110,3.52,3.63,3.41,3.59,9851680,28.75
AAPL,19830111,3.56,3.69,3.56,3.69,5834496,29.5
AAPL,19830112,3.81,3.94,3.69,3.84,6333448,30.75
AAPL,19830113,3.83,3.88,3.78,3.84,2948488,30.75
AAPL,19830114,3.86,4.13,3.86,4.13,6615840,33
AAPL,19830117,4.22,4.33,4.09,4.27,8417120,34.13
AAPL,19830118,4.22,4.36,4.06,4.17,7877976,33.38
AAPL,19830119,4.2,4.25,4.16,4.2,6075712,33.63
AAPL,19830120,4.2,4.67,4.2,4.67,25319120,37.38
AAPL,19830121,4.75,4.88,4.63,4.67,15224400,37.38
AAPL,19830124,4.5,4.67,4.33,4.41,11306720,35.25
AAPL,19830125,4.53,4.69,4.38,4.58,5983424,36.63
AAPL,19830126,4.72,4.81,4.63,4.77,7276976,38.13
AAPL,19830127,4.94,5.13,4.75,5.09,11759200,40.75
AAPL,19830128,5.16,5.25,5.06,5.13,14236480,41
AAPL,19830131,5.11,5.2,5.02,5.11,6731784,40.88
AAPL,19830201,5.03,5.22,5.03,5.22,7549864,41.75
AAPL,19830202,5.31,5.47,5.14,5.36,9556080,42.88
AAPL,19830203,5.45,5.59,5.31,5.58,9034800,44.63
AAPL,19830204,5.58,5.67,5.48,5.5,7672392,44
AAPL,19830207,5.38,5.58,5.19,5.28,5129040,42.25
AAPL,19830208,5.27,5.36,5.17,5.23,6020512,41.88
AAPL,19830209,5.2,5.31,5.09,5.28,6469232,42.25
AAPL,19830210,5.47,5.66,5.28,5.63,8478080,45
AAPL,19830211,5.78,5.91,5.67,5.81,7285872,46.5
AAPL,19830214,5.72,5.81,5.64,5.78,4525312,46.25
AAPL,19830215,5.72,5.83,5.61,5.67,4130368,45.38
AAPL,19830216,5.59,5.67,5.53,5.56,4173056,44.5
AAPL,19830217,5.44,5.56,5.33,5.5,4878864,44
AAPL,19830218,5.59,5.73,5.44,5.67,4115408,45.38
AAPL,19830222,5.84,5.97,5.7,5.81,7053984,46.5
AAPL,19830223,5.86,5.95,5.77,5.86,4367792,46.88
AAPL,19830224,5.97,6.05,5.91,6.02,4144008,48.13
AAPL,19830225,5.94,6.08,5.81,5.84,4109024,46.75
AAPL,19830228,5.78,5.86,5.69,5.7,4734640,45.63
AAPL,19830301,5.75,5.83,5.69,5.8,5018496,46.38
AAPL,19830302,5.83,5.88,5.78,5.84,3792416,46.75
AAPL,19830303,5.78,5.91,5.64,5.66,4796304,45.25
AAPL,19830304,5.53,5.67,5.41,5.58,5563184,44.63
